protein_id,length
sp|G0R6T8|LP9A_HYPJQ,344
tr|G0RAB4|G0RAB4_HYPJQ,502
tr|G0RAV5|G0RAV5_HYPJQ,151
sp|G0RBE3|IRE1_HYPJQ,1243
tr|G0RBU9|G0RBU9_HYPJQ,484
tr|G0RLE5|G0RLE5_HYPJQ,2101
sp|G0RUP7|XYN2_HYPJQ,223
sp|G0RV93|GCE_HYPJQ,460
tr|G0RX15|G0RX15_HYPJQ,1575
sp|Q7Z9M7|LP9B_HYPJQ,249
tr|G0R6Q0|G0R6Q0_HYPJQ,592
sp|G0R6S8|SORA_HYPJQ,2567
sp|G0R6S9|SORB_HYPJQ,2633
sp|G0R6T0|SORC_HYPJQ,456
tr|G0R6Y9|G0R6Y9_HYPJQ,788
tr|G0R7E4|G0R7E4_HYPJQ,1354
tr|G0R7X2|G0R7X2_HYPJQ,497
tr|G0R7Z7|G0R7Z7_HYPJQ,384
tr|G0R9R2|G0R9R2_HYPJQ,1074
tr|G0R9X6|G0R9X6_HYPJQ,2221
tr|G0RAB1|G0RAB1_HYPJQ,955
tr|G0RAZ6|G0RAZ6_HYPJQ,525
tr|G0RBI4|G0RBI4_HYPJQ,1139
tr|G0RCM6|G0RCM6_HYPJQ,259
tr|G0RD41|G0RD41_HYPJQ,491
tr|G0RDN7|G0RDN7_HYPJQ,800
tr|G0REC2|G0REC2_HYPJQ,657
sp|G0REW7|C3HPD_HYPJQ,596
sp|G0REX6|ILIA_HYPJQ,3812
tr|G0RFF0|G0RFF0_HYPJQ,914
tr|G0RGH4|G0RGH4_HYPJQ,574
sp|G0RH19|LXR3_HYPJQ,288
tr|G0RHU2|G0RHU2_HYPJQ,791
tr|G0RIH7|G0RIH7_HYPJQ,2431
tr|G0RIV8|G0RIV8_HYPJQ,526
sp|G0RL42|VEA_HYPJQ,573
tr|G0RL51|G0RL51_HYPJQ,2114
tr|G0RLD9|G0RLD9_HYPJQ,649
tr|G0RLM2|G0RLM2_HYPJQ,614
tr|G0RM79|G0RM79_HYPJQ,627
tr|G0RMC9|G0RMC9_HYPJQ,721
tr|G0RMN7|G0RMN7_HYPJQ,1534
sp|G0RNA2|LXR4_HYPJQ,304
sp|G0RNN3|LAEA_HYPJQ,332
tr|G0RPZ9|G0RPZ9_HYPJQ,1529
tr|G0RQR3|G0RQR3_HYPJQ,1746
tr|G0RR25|G0RR25_HYPJQ,497
