protein_id,id,length,Prediction,SP_probability,OTHER_probability,cleavage_site
sp|G0R6T8|LP9A_HYPJQ,G0R6T8,344,SP,0.999866,0.000151,CS pos: 21-22. Pr: 0.9838
tr|G0RAB4|G0RAB4_HYPJQ,G0RAB4,502,OTHER,0.0,1.0,
tr|G0RAV5|G0RAV5_HYPJQ,G0RAV5,151,OTHER,0.0,1.0,
sp|G0RBE3|IRE1_HYPJQ,G0RBE3,1243,SP,0.999812,0.000187,CS pos: 35-36. Pr: 0.9752
tr|G0RBU9|G0RBU9_HYPJQ,G0RBU9,484,OTHER,0.0,1.0,
tr|G0RLE5|G0RLE5_HYPJQ,G0RLE5,2101,OTHER,0.0,1.0,
sp|G0RUP7|XYN2_HYPJQ,G0RUP7,223,SP,0.999805,0.000194,CS pos: 33-34. Pr: 0.6017
sp|G0RV93|GCE_HYPJQ,G0RV93,460,SP,0.999629,0.000381,CS pos: 17-18. Pr: 0.9782
tr|G0RX15|G0RX15_HYPJQ,G0RX15,1575,OTHER,0.0,1.0,
sp|Q7Z9M7|LP9B_HYPJQ,Q7Z9M7,249,SP,0.999846,0.000153,CS pos: 19-20. Pr: 0.9842
tr|G0R6Q0|G0R6Q0_HYPJQ,G0R6Q0,592,OTHER,0.0,1.0,
sp|G0R6S8|SORA_HYPJQ,G0R6S8,2567,OTHER,1.3e-05,1.0,
sp|G0R6S9|SORB_HYPJQ,G0R6S9,2633,OTHER,0.0,1.0,
sp|G0R6T0|SORC_HYPJQ,G0R6T0,456,OTHER,0.0,1.0,
tr|G0R6Y9|G0R6Y9_HYPJQ,G0R6Y9,788,OTHER,0.0,1.0,
tr|G0R7E4|G0R7E4_HYPJQ,G0R7E4,1354,OTHER,0.0,1.0,
tr|G0R7X2|G0R7X2_HYPJQ,G0R7X2,497,OTHER,0.0,1.0,
tr|G0R7Z7|G0R7Z7_HYPJQ,G0R7Z7,384,OTHER,0.0,1.0,
tr|G0R9R2|G0R9R2_HYPJQ,G0R9R2,1074,OTHER,0.0,1.0,
tr|G0R9X6|G0R9X6_HYPJQ,G0R9X6,2221,OTHER,0.0,0.999992,
tr|G0RAB1|G0RAB1_HYPJQ,G0RAB1,955,OTHER,0.0,0.999995,
tr|G0RAZ6|G0RAZ6_HYPJQ,G0RAZ6,525,OTHER,0.0,1.0,
tr|G0RBI4|G0RBI4_HYPJQ,G0RBI4,1139,OTHER,0.0,1.0,
tr|G0RCM6|G0RCM6_HYPJQ,G0RCM6,259,OTHER,0.0,1.0,
tr|G0RD41|G0RD41_HYPJQ,G0RD41,491,OTHER,0.0,0.999999,
tr|G0RDN7|G0RDN7_HYPJQ,G0RDN7,800,OTHER,0.0,1.0,
tr|G0REC2|G0REC2_HYPJQ,G0REC2,657,OTHER,0.0,0.999996,
sp|G0REW7|C3HPD_HYPJQ,G0REW7,596,OTHER,0.0,1.0,
sp|G0REX6|ILIA_HYPJQ,G0REX6,3812,OTHER,6.6e-05,0.999964,
tr|G0RFF0|G0RFF0_HYPJQ,G0RFF0,914,OTHER,0.0,1.0,
tr|G0RGH4|G0RGH4_HYPJQ,G0RGH4,574,OTHER,0.0,1.0,
sp|G0RH19|LXR3_HYPJQ,G0RH19,288,OTHER,0.0,1.0,
tr|G0RHU2|G0RHU2_HYPJQ,G0RHU2,791,OTHER,0.0,1.0,
tr|G0RIH7|G0RIH7_HYPJQ,G0RIH7,2431,OTHER,0.0,1.0,
tr|G0RIV8|G0RIV8_HYPJQ,G0RIV8,526,OTHER,0.0,1.0,
sp|G0RL42|VEA_HYPJQ,G0RL42,573,OTHER,0.0,1.0,
tr|G0RL51|G0RL51_HYPJQ,G0RL51,2114,OTHER,0.0,1.0,
tr|G0RLD9|G0RLD9_HYPJQ,G0RLD9,649,OTHER,0.0,1.0,
tr|G0RLM2|G0RLM2_HYPJQ,G0RLM2,614,OTHER,0.0,1.0,
